,Threshold,Chunk Size,Precision,Recall,F1_score,Accuracy
160,0.8,7,0.172147001934236,0.7007874015748031,0.27639751552795033,0.7971090212469519
161,0.8,8,0.18573237653018151,0.6929133858267716,0.2929427430093209,0.8150470219435735
162,0.8,9,0.18343949044585986,0.6803149606299213,0.2889632107023411,0.8148728665970046
163,0.8,10,0.1855123674911661,0.6614173228346457,0.289755087961366,0.82070707070707
164,0.8,11,0.19144040497008744,0.6551181102362205,0.2962962962962963,0.8279345175896893
165,0.8,12,0.1831284442560407,0.6803149606299213,0.28857715430861725,0.8145245559038652
166,0.8,13,0.17325349301397205,0.6834645669291338,0.2764331210191083,0.8021595262974562
167,0.8,14,0.17065515888583757,0.6850393700787402,0.27324120603015073,0.7985022640195044
168,0.8,15,0.17758549649773384,0.6787401574803149,0.28151534944480733,0.8084291187739462
169,0.8,16,0.17707058343533252,0.6834645669291338,0.2812702527543746,0.806861720654823
170,0.8,17,0.1791544579321892,0.6740157480314961,0.2830687830687831,0.8112156043190518
171,0.8,18,0.16986301369863013,0.6834645669291338,0.2721003134796238,0.797805642633228
172,0.8,19,0.17034953796705504,0.6677165354330709,0.2714468629961587,0.8018112156043185
173,0.8,20,0.1701131486539212,0.6866141732283465,0.27267041901188244,0.7974573319400899
174,0.8,21,0.16984884645982498,0.6724409448818898,0.27119720546205145,0.8001567398119117
175,0.8,22,0.1704312114989733,0.6535433070866141,0.2703583061889251,0.8049460118425633
176,0.9,1,0.2030787448194198,0.5401574803149606,0.29518072289156627,0.8573667711598746
177,0.9,2,0.23214285714285715,0.5322834645669291,0.3232902917264467,0.8767850923023341
178,0.9,3,0.24577861163227016,0.4125984251968504,0.30805408583186356,0.8975095785440618
179,0.9,4,0.2481549815498155,0.42362204724409447,0.3129726585223967,0.8971612678509233
180,0.9,5,0.2801147227533461,0.46141732283464565,0.3486020226055919,0.9046499477533959
181,0.9,6,0.26844444444444443,0.4755905511811024,0.34318181818181825,0.8993382096830366
182,0.9,7,0.21827000808407437,0.4251968503937008,0.2884615384615385,0.8840125391849526
183,0.9,8,0.23455684870188004,0.4125984251968504,0.2990867579908676,0.8930686172065474
184,0.9,9,0.2712665406427221,0.4519685039370079,0.33904311872415827,0.9025600835945663
185,0.9,10,0.2821285140562249,0.44251968503937006,0.34457388105456777,0.9069139672587949
186,0.9,11,0.2788888888888889,0.3952755905511811,0.3270358306188925,0.9100487634970396
187,0.9,12,0.2634791454730417,0.4078740157480315,0.3201483312731767,0.9042145593869738
188,0.9,13,0.2691924227318046,0.4251968503937008,0.32967032967032966,0.9043887147335427
189,0.9,14,0.24954954954954955,0.43622047244094486,0.3174785100286533,0.8962904911180777
190,0.9,15,0.26524685382381413,0.431496062992126,0.328537170263789,0.9024730059212822
191,0.9,16,0.2576045627376426,0.4267716535433071,0.3212803793716657,0.9002960640891681
192,0.9,17,0.25187265917602997,0.42362204724409447,0.31591309453904876,0.898554510623476
193,0.9,18,0.2539964476021314,0.4503937007874016,0.3248154457694492,0.8964646464646466
194,0.9,19,0.24306839186691312,0.4141732283464567,0.3063482818870122,0.8962904911180782
195,0.9,20,0.24861878453038674,0.4251968503937008,0.31377106333527016,0.8971612678509227
196,0.9,21,0.25523809523809526,0.4220472440944882,0.31810089020771515,0.8999477533960296
197,0.9,22,0.2575150300601202,0.4047244094488189,0.3147581139007961,0.9025600835945666
198,1.0,1,0.3836477987421384,0.1921259842519685,0.25603357817418676,0.9382619296412396
199,1.0,2,0.3803921568627451,0.15275590551181104,0.21797752808988763,0.939393939393939
200,1.0,3,0.41624365482233505,0.12913385826771653,0.19711538461538464,0.9418321142459068
201,1.0,4,0.4065934065934066,0.05826771653543307,0.10192837465564739,0.9432253570184593
202,1.0,5,0.6571428571428571,0.07244094488188976,0.13049645390070921,0.946621386276557
203,1.0,6,0.58,0.13700787401574804,0.22165605095541402,0.9467955416231267
204,1.0,7,0.6176470588235294,0.03307086614173228,0.06278026905829596,0.9454022988505733
205,1.0,8,0.44155844155844154,0.05354330708661417,0.09550561797752809,0.9439219784047359
206,1.0,9,0.7565217391304347,0.13700787401574804,0.23200000000000004,0.9498432601880865
207,1.0,10,0.7727272727272727,0.026771653543307086,0.051750380517503795,0.9457506095437114
208,1.0,11,0.6060606060606061,0.031496062992125984,0.05988023952095808,0.9453152211772883
209,1.0,12,0.61,0.09606299212598425,0.16598639455782313,0.946621386276557
210,1.0,13,0.7272727272727273,0.10078740157480315,0.17704011065006917,0.9481887843956796
211,1.0,14,0.7941176470588235,0.04251968503937008,0.08071748878923767,0.9464472309299881
212,1.0,15,0.7924528301886793,0.06614173228346457,0.12209302325581396,0.9474050853361183
213,1.0,16,0.5625,0.04251968503937008,0.07906295754026355,0.9452281435040039
214,1.0,17,0.75,0.01889763779527559,0.03686635944700461,0.9454022988505729
215,1.0,18,0.9111111111111111,0.12913385826771653,0.22620689655172413,0.9511494252873548
216,1.0,19,0.6521739130434783,0.023622047244094488,0.04559270516717325,0.9453152211772885
217,1.0,20,0.6842105263157895,0.02047244094488189,0.039755351681957186,0.9453152211772885
218,1.0,21,0.8181818181818182,0.014173228346456693,0.027863777089783277,0.9453152211772885
219,1.0,22,0.7142857142857143,0.015748031496062992,0.030816640986132512,0.9452281435040039
